customer_id,customer_name,email,city,country,created_date
CUST00001,Mehmet Yılmaz,mehmet.yılmaz@example.com,Antalya,Turkey,2025-05-24
CUST00002,Ali Demir,ali.demir@example.com,Ankara,Turkey,2024-03-08
CUST00003,Zeynep Kaya,zeynep.kaya@example.com,Konya,Turkey,2025-12-28
CUST00004,Ahmet Kaya,ahmet.kaya@example.com,Bursa,Turkey,2025-06-05
CUST00005,Zeynep Doğan,zeynep.doğan@example.com,Istanbul,Turkey,2024-07-04
CUST00006,Ali Arslan,ali.arslan@example.com,Konya,Turkey,2025-06-18
CUST00007,Emine Doğan,emine.doğan@example.com,Antalya,Turkey,2026-01-23
CUST00008,Mustafa Aydın,mustafa.aydın@example.com,Adana,Turkey,2025-04-20
CUST00009,Mustafa Çelik,mustafa.çelik@example.com,Adana,Turkey,2025-10-17
CUST00010,Mehmet Aydın,mehmet.aydın@example.com,Ankara,Turkey,2025-01-27
CUST00011,Ayşe Doğan,ayşe.doğan@example.com,Antalya,Turkey,2025-12-16
CUST00012,Emine Arslan,emine.arslan@example.com,Ankara,Turkey,2025-01-07
CUST00013,Mehmet Arslan,mehmet.arslan@example.com,Antalya,Turkey,2024-04-26
CUST00014,Hatice Yıldız,hatice.yıldız@example.com,Bursa,Turkey,2025-11-19
CUST00015,Ahmet Çelik,ahmet.çelik@example.com,Antalya,Turkey,2025-11-09
CUST00016,Ali Kaya,ali.kaya@example.com,Konya,Turkey,2025-04-20
CUST00017,Emine Yıldız,emine.yıldız@example.com,Izmir,Turkey,2025-01-15
CUST00018,Ayşe Çelik,ayşe.çelik@example.com,Antalya,Turkey,2024-03-01
CUST00019,Mehmet Doğan,mehmet.doğan@example.com,Izmir,Turkey,2024-08-01
CUST00020,Ali Demir,ali.demir@example.com,Gaziantep,Turkey,2025-01-06
CUST00021,Hüseyin Arslan,hüseyin.arslan@example.com,Bursa,Turkey,2025-03-03
CUST00022,Ahmet Çelik,ahmet.çelik@example.com,Istanbul,Turkey,2025-03-12
CUST00023,Fatma Şahin,fatma.şahin@example.com,Ankara,Turkey,2025-06-27
CUST00024,Hatice Yıldız,hatice.yıldız@example.com,Bursa,Turkey,2024-03-29
CUST00025,Emine Aydın,emine.aydın@example.com,Gaziantep,Turkey,2025-09-05
CUST00026,Hüseyin Demir,hüseyin.demir@example.com,Bursa,Turkey,2024-07-04
CUST00027,Zeynep Şahin,zeynep.şahin@example.com,Konya,Turkey,2024-06-11
CUST00028,Fatma Yıldız,fatma.yıldız@example.com,Bursa,Turkey,2025-09-10
CUST00029,Zeynep Özdemir,zeynep.özdemir@example.com,Ankara,Turkey,2025-12-12
CUST00030,Mehmet Demir,mehmet.demir@example.com,Izmir,Turkey,2024-03-04
CUST00031,Fatma Doğan,fatma.doğan@example.com,Ankara,Turkey,2024-12-31
CUST00032,Fatma Doğan,fatma.doğan@example.com,Gaziantep,Turkey,2024-08-06
CUST00033,Hüseyin Arslan,hüseyin.arslan@example.com,Istanbul,Turkey,2024-03-04
CUST00034,Mehmet Arslan,mehmet.arslan@example.com,Antalya,Turkey,2024-04-13
CUST00035,Ayşe Kaya,ayşe.kaya@example.com,Antalya,Turkey,2024-11-10
CUST00036,Mustafa Özdemir,mustafa.özdemir@example.com,Istanbul,Turkey,2025-05-05
CUST00037,Zeynep Demir,zeynep.demir@example.com,Ankara,Turkey,2024-04-29
CUST00038,Hüseyin Arslan,hüseyin.arslan@example.com,Bursa,Turkey,2025-08-26
CUST00039,Ayşe Demir,ayşe.demir@example.com,Istanbul,Turkey,2024-05-26
CUST00040,Ayşe Özdemir,ayşe.özdemir@example.com,Istanbul,Turkey,2025-10-07
CUST00041,Ayşe Şahin,ayşe.şahin@example.com,Bursa,Turkey,2025-12-01
CUST00042,Ali Doğan,ali.doğan@example.com,Ankara,Turkey,2025-11-03
CUST00043,Emine Kaya,emine.kaya@example.com,Izmir,Turkey,2025-09-20
CUST00044,Emine Arslan,emine.arslan@example.com,Izmir,Turkey,2025-05-03
CUST00045,Zeynep Doğan,zeynep.doğan@example.com,Konya,Turkey,2025-06-27
CUST00046,Zeynep Çelik,zeynep.çelik@example.com,Antalya,Turkey,2024-12-17
CUST00047,Ayşe Özdemir,ayşe.özdemir@example.com,Gaziantep,Turkey,2025-09-28
CUST00048,Ali Çelik,ali.çelik@example.com,Ankara,Turkey,2025-02-17
CUST00049,Ahmet Doğan,ahmet.doğan@example.com,Bursa,Turkey,2024-06-06
CUST00050,Ali Yılmaz,ali.yılmaz@example.com,Ankara,Turkey,2024-04-23
CUST00051,Ahmet Çelik,ahmet.çelik@example.com,Ankara,Turkey,2025-12-28
CUST00052,Ayşe Kaya,ayşe.kaya@example.com,Bursa,Turkey,2025-04-19
CUST00053,Emine Çelik,emine.çelik@example.com,Izmir,Turkey,2024-06-24
CUST00054,Hatice Özdemir,hatice.özdemir@example.com,Bursa,Turkey,2024-10-02
CUST00055,Fatma Çelik,fatma.çelik@example.com,Ankara,Turkey,2025-10-22
CUST00056,Fatma Yıldız,fatma.yıldız@example.com,Konya,Turkey,2024-12-05
CUST00057,Emine Yılmaz,emine.yılmaz@example.com,Ankara,Turkey,2025-11-28
CUST00058,Fatma Yıldız,fatma.yıldız@example.com,Ankara,Turkey,2025-05-20
CUST00059,Ali Çelik,ali.çelik@example.com,Gaziantep,Turkey,2025-09-08
CUST00060,Fatma Demir,fatma.demir@example.com,Antalya,Turkey,2024-10-13
CUST00061,Ali Kaya,ali.kaya@example.com,Gaziantep,Turkey,2024-07-15
CUST00062,Mehmet Yılmaz,mehmet.yılmaz@example.com,Istanbul,Turkey,2025-10-26
CUST00063,Ali Demir,ali.demir@example.com,Konya,Turkey,2024-09-19
CUST00064,Emine Çelik,emine.çelik@example.com,Konya,Turkey,2025-11-30
CUST00065,Mustafa Aydın,mustafa.aydın@example.com,Istanbul,Turkey,2024-12-26
CUST00066,Hüseyin Özdemir,hüseyin.özdemir@example.com,Antalya,Turkey,2024-11-22
CUST00067,Zeynep Özdemir,zeynep.özdemir@example.com,Izmir,Turkey,2025-07-19
CUST00068,Hüseyin Çelik,hüseyin.çelik@example.com,Istanbul,Turkey,2024-06-15
CUST00069,Zeynep Yılmaz,zeynep.yılmaz@example.com,Adana,Turkey,2025-12-02
CUST00070,Ahmet Doğan,ahmet.doğan@example.com,Gaziantep,Turkey,2024-09-02
CUST00071,Zeynep Demir,zeynep.demir@example.com,Istanbul,Turkey,2024-08-27
CUST00072,Mehmet Demir,mehmet.demir@example.com,Ankara,Turkey,2024-05-30
CUST00073,Mehmet Çelik,mehmet.çelik@example.com,Konya,Turkey,2025-09-29
CUST00074,Hatice Çelik,hatice.çelik@example.com,Istanbul,Turkey,2024-05-05
CUST00075,Mehmet Aydın,mehmet.aydın@example.com,Adana,Turkey,2025-05-07
CUST00076,Ali Yıldız,ali.yıldız@example.com,Bursa,Turkey,2025-05-03
CUST00077,Fatma Demir,fatma.demir@example.com,Antalya,Turkey,2024-10-18
CUST00078,Ayşe Kaya,ayşe.kaya@example.com,Istanbul,Turkey,2024-10-17
CUST00079,Hatice Doğan,hatice.doğan@example.com,Ankara,Turkey,2025-11-15
CUST00080,Zeynep Çelik,zeynep.çelik@example.com,Antalya,Turkey,2025-09-16
CUST00081,Ayşe Kaya,ayşe.kaya@example.com,Bursa,Turkey,2025-01-16
CUST00082,Hüseyin Demir,hüseyin.demir@example.com,Gaziantep,Turkey,2024-07-22
CUST00083,Hüseyin Doğan,hüseyin.doğan@example.com,Istanbul,Turkey,2024-03-17
CUST00084,Zeynep Şahin,zeynep.şahin@example.com,Ankara,Turkey,2025-09-14
CUST00085,Hüseyin Kaya,hüseyin.kaya@example.com,Ankara,Turkey,2024-07-12
CUST00086,Mustafa Şahin,mustafa.şahin@example.com,Antalya,Turkey,2024-05-20
CUST00087,Ali Yıldız,ali.yıldız@example.com,Bursa,Turkey,2024-04-20
CUST00088,Hüseyin Arslan,hüseyin.arslan@example.com,Gaziantep,Turkey,2025-05-17
CUST00089,Ahmet Kaya,ahmet.kaya@example.com,Konya,Turkey,2025-04-21
CUST00090,Ahmet Yılmaz,ahmet.yılmaz@example.com,Adana,Turkey,2025-09-18
CUST00091,Hüseyin Demir,hüseyin.demir@example.com,Gaziantep,Turkey,2024-07-14
CUST00092,Fatma Arslan,fatma.arslan@example.com,Istanbul,Turkey,2025-10-07
CUST00093,Mehmet Demir,mehmet.demir@example.com,Istanbul,Turkey,2025-01-16
CUST00094,Hatice Arslan,hatice.arslan@example.com,Izmir,Turkey,2024-11-15
CUST00095,Mustafa Yılmaz,mustafa.yılmaz@example.com,Antalya,Turkey,2025-01-21
CUST00096,Ahmet Yıldız,ahmet.yıldız@example.com,Bursa,Turkey,2024-03-02
CUST00097,Ali Kaya,ali.kaya@example.com,Adana,Turkey,2024-07-05
CUST00098,Fatma Doğan,fatma.doğan@example.com,Izmir,Turkey,2025-06-01
CUST00099,Mustafa Demir,mustafa.demir@example.com,Konya,Turkey,2026-01-04
CUST00100,Mustafa Yıldız,mustafa.yıldız@example.com,Konya,Turkey,2024-03-15
